OID_,id,subward,ward,district,Building Diversity,Population Density,Microclimate,UNIQUE,Heat Stress,Connectivity,Integration,Built Density
190,308,Kifurukwe,Kibada,Kigamboni,0.439327731,0.005432819,0.494790194,307,0.733431289,0.385936621,0.25301675,0.515138697
191,322,Njaro,Temeke,Temeke,0.483439936,0.26757076,0.229352025,321,0.064189002,0.4275343,0.972940836,0.575957904
192,324,Temeke,Temeke,Temeke,0.264947388,0.222647219,0.150933602,323,0.09783793,0.504037588,0.768475121,0.47032409
193,326,Yombo Vituka,Yombo Vituka,Temeke,0.260007353,0.3546552,0.515196795,325,0.311679667,0.431890466,0.370574333,0.452302359
194,328,Machimbo,Yombo Vituka,Temeke,0.234805589,0.479734882,0.387656055,327,0.18852974,0.528025097,0.307489363,0.456107612
195,329,Matumbi,Temeke,Temeke,0.258357486,0.389616288,0.174147502,328,0.121113993,0.569176288,0.74705354,0.478734451
196,330,Sigara,Yombo Vituka,Temeke,0.309333769,0.21484739,0.60977844,329,0.427768851,0.479327441,0.277363223,0.415488681
197,331,Bustani,Mtoni,Temeke,0.166740002,0.640262892,0.214485858,330,0.134002401,0.416237187,0.744261901,0.392616291
198,347,Keko Juu,Miburani,Temeke,0.445649536,0.285211229,0.317752351,346,0.221416656,0.482855222,0.836794312,0.498270493
199,350,Uwanja wa Taifa,Miburani,Temeke,0.660438699,0.244195075,0.357872263,349,0.18142914,0.401734909,0.727093399,0.590343015
200,352,Miburani,Miburani,Temeke,0.198755971,0.384836948,0.204327631,351,0.12598318,0.371987237,0.677580141,0.447532222
201,353,Wailes,Miburani,Temeke,0.377225811,0.325831293,0.482036177,352,0.157918785,0.354156083,0.780060606,0.457650979
202,356,Keko Machungwa,Miburani,Temeke,0.479093912,0.292187704,0.289524908,355,0.258470298,0.39988018,0.741985994,0.483389258
203,357,Sabasaba,Mtoni,Temeke,0.385035489,0.290886661,0.353409992,356,0.409247435,0.25280662,0.7545062,0.376476921
204,358,Mtoni,Mtoni,Temeke,0.284930779,0.464237306,0.111612099,357,0.293624229,0.296885271,0.699005096,0.394044428
205,359,Relini,Mtoni,Temeke,0.354917308,0.260368649,0.317867382,358,0.386909086,0,0.548359814,0.280758911
206,360,Keko Mwanga 'B',Keko,Temeke,0.366956592,0.453310682,0.28038065,359,0.292861182,0.661694937,0.559921795,0.434978359
